ID,Position,Finishing,HeadingAccuracy,ShortPassing,Dribbling,FKAccuracy,LongPassing,Acceleration,Reactions,Stamina,LongShots,Marking,Penalties
27,200145,CDM,59.0,76.0,85.0,69.0,74.0,82.0,59.0,84.0,87.0,79.0,88.0,66.0
28,198710,LAM,83.0,62.0,89.0,85.0,86.0,83.0,73.0,85.0,70.0,92.0,52.0,81.0
29,198219,LW,77.0,56.0,85.0,90.0,77.0,78.0,94.0,83.0,75.0,84.0,51.0,61.0
30,197781,LW,79.0,55.0,89.0,94.0,76.0,83.0,75.0,77.0,70.0,87.0,60.0,76.0
31,190460,CAM,80.0,52.0,91.0,84.0,87.0,88.0,75.0,88.0,92.0,89.0,59.0,67.0
32,189242,LW,79.0,48.0,88.0,91.0,86.0,83.0,89.0,83.0,79.0,93.0,55.0,70.0
33,188567,LM,88.0,79.0,77.0,79.0,74.0,64.0,93.0,87.0,76.0,79.0,27.0,76.0
34,178603,LCB,55.0,87.0,81.0,68.0,53.0,85.0,53.0,87.0,66.0,51.0,88.0,68.0
35,176676,LB,70.0,75.0,84.0,90.0,67.0,76.0,83.0,88.0,91.0,70.0,71.0,59.0
36,173731,ST,86.0,84.0,85.0,87.0,87.0,80.0,94.0,85.0,75.0,91.0,54.0,76.0
37,167948,GK,10.0,10.0,50.0,10.0,10.0,50.0,65.0,85.0,41.0,14.0,29.0,40.0
38,167664,LS,92.0,80.0,75.0,84.0,62.0,59.0,73.0,86.0,70.0,80.0,35.0,70.0
39,164240,RCB,38.0,81.0,80.0,62.0,64.0,80.0,70.0,82.0,74.0,68.0,88.0,60.0
40,162835,GK,10.0,10.0,36.0,12.0,14.0,34.0,51.0,83.0,41.0,19.0,25.0,23.0
41,1179,GK,15.0,13.0,37.0,26.0,13.0,35.0,49.0,79.0,39.0,13.0,13.0,22.0
42,205600,CB,51.0,79.0,81.0,69.0,62.0,73.0,71.0,82.0,78.0,74.0,90.0,61.0
43,201399,ST,91.0,91.0,73.0,77.0,45.0,54.0,77.0,88.0,72.0,70.0,45.0,82.0
44,201024,LCB,19.0,81.0,66.0,66.0,28.0,56.0,68.0,80.0,71.0,15.0,91.0,33.0
45,195864,RDM,73.0,73.0,86.0,87.0,82.0,90.0,71.0,81.0,88.0,81.0,66.0,81.0
46,193041,GK,15.0,11.0,30.0,16.0,15.0,37.0,54.0,84.0,39.0,13.0,28.0,25.0
47,192505,ST,87.0,86.0,77.0,80.0,66.0,73.0,77.0,86.0,84.0,74.0,30.0,78.0
48,192387,ST,90.0,81.0,74.0,83.0,51.0,49.0,78.0,87.0,80.0,80.0,34.0,78.0
49,189332,LB,73.0,70.0,84.0,80.0,63.0,74.0,93.0,83.0,91.0,66.0,72.0,59.0
50,175943,RF,86.0,35.0,82.0,91.0,79.0,74.0,93.0,88.0,75.0,81.0,25.0,79.0
51,172871,LCB,56.0,80.0,79.0,71.0,73.0,74.0,61.0,84.0,75.0,66.0,90.0,66.0
52,171877,LCM,79.0,74.0,88.0,86.0,72.0,83.0,69.0,88.0,84.0,83.0,75.0,70.0
53,168651,RCM,83.0,58.0,87.0,84.0,84.0,90.0,66.0,77.0,84.0,90.0,72.0,82.0
54,152729,RCB,64.0,83.0,81.0,59.0,43.0,80.0,49.0,84.0,65.0,51.0,91.0,69.0
55,222492,LW,81.0,72.0,79.0,88.0,68.0,64.0,93.0,81.0,79.0,78.0,36.0,71.0
56,218667,RW,75.0,51.0,85.0,92.0,67.0,79.0,84.0,82.0,78.0,72.0,49.0,68.0
57,210257,GK,14.0,14.0,56.0,23.0,20.0,58.0,64.0,86.0,41.0,18.0,28.0,17.0
58,208722,LM,84.0,62.0,79.0,87.0,64.0,71.0,95.0,86.0,84.0,74.0,42.0,71.0
59,203376,LCB,52.0,82.0,76.0,70.0,70.0,78.0,74.0,85.0,71.0,64.0,88.0,62.0
60,202652,RW,77.0,38.0,84.0,88.0,63.0,69.0,95.0,87.0,78.0,73.0,47.0,69.0
61,201942,CAM,87.0,77.0,86.0,87.0,65.0,75.0,78.0,86.0,90.0,76.0,60.0,72.0
62,201535,RCB,40.0,83.0,75.0,57.0,54.0,76.0,83.0,83.0,73.0,53.0,87.0,43.0
63,199556,LCM,60.0,55.0,90.0,90.0,64.0,89.0,69.0,85.0,77.0,58.0,78.0,64.0
64,191043,LB,55.0,76.0,81.0,80.0,59.0,71.0,83.0,84.0,92.0,72.0,81.0,60.0
65,190483,LM,67.0,50.0,84.0,92.0,78.0,68.0,97.0,84.0,78.0,80.0,45.0,77.0
66,189596,CAM,87.0,82.0,83.0,75.0,59.0,72.0,73.0,91.0,87.0,80.0,44.0,60.0
67,189509,CM,69.0,54.0,90.0,90.0,77.0,87.0,78.0,84.0,75.0,79.0,67.0,75.0
68,188350,LM,87.0,49.0,86.0,87.0,84.0,75.0,86.0,87.0,73.0,86.0,47.0,89.0
69,184432,RB,46.0,76.0,81.0,69.0,58.0,80.0,76.0,88.0,87.0,60.0,88.0,66.0
70,184344,RCB,48.0,86.0,77.0,69.0,61.0,85.0,57.0,84.0,71.0,65.0,90.0,70.0
71,184087,RCB,45.0,82.0,79.0,62.0,69.0,85.0,61.0,86.0,74.0,65.0,90.0,58.0
72,180206,CDM,60.0,60.0,89.0,86.0,92.0,85.0,66.0,84.0,78.0,82.0,75.0,79.0
73,177509,CB,47.0,83.0,65.0,64.0,27.0,65.0,65.0,82.0,69.0,24.0,89.0,41.0
74,176635,CAM,73.0,54.0,89.0,84.0,77.0,82.0,72.0,84.0,69.0,75.0,24.0,67.0
75,135507,CDM,69.0,63.0,85.0,77.0,72.0,81.0,68.0,86.0,79.0,78.0,85.0,61.0
76,41,LF,70.0,54.0,90.0,90.0,70.0,85.0,70.0,86.0,55.0,71.0,67.0,71.0
77,232363,LCB,42.0,80.0,70.0,59.0,30.0,68.0,70.0,81.0,77.0,30.0,92.0,56.0
78,223848,CM,80.0,86.0,85.0,86.0,75.0,85.0,68.0,80.0,85.0,80.0,75.0,56.0
79,220834,RW,82.0,50.0,83.0,86.0,76.0,82.0,85.0,82.0,76.0,88.0,40.0,62.0
80,216594,CAM,82.0,49.0,83.0,90.0,79.0,75.0,79.0,80.0,80.0,82.0,31.0,81.0
81,212831,GK,13.0,19.0,45.0,27.0,18.0,44.0,54.0,84.0,32.0,14.0,15.0,23.0
82,212622,RCM,66.0,74.0,85.0,80.0,61.0,80.0,78.0,85.0,85.0,69.0,75.0,44.0
83,208421,RCM,78.0,83.0,85.0,83.0,60.0,83.0,74.0,82.0,86.0,79.0,77.0,55.0
84,204485,RW,80.0,48.0,82.0,91.0,78.0,76.0,88.0,77.0,76.0,81.0,45.0,73.0
85,197445,LB,63.0,75.0,82.0,79.0,84.0,80.0,79.0,84.0,87.0,82.0,80.0,80.0
86,193747,LM,72.0,61.0,90.0,82.0,76.0,89.0,71.0,85.0,90.0,81.0,80.0,59.0
87,193301,ST,88.0,73.0,80.0,85.0,71.0,59.0,81.0,85.0,79.0,75.0,29.0,84.0
88,192774,LCB,10.0,80.0,60.0,54.0,10.0,61.0,80.0,85.0,76.0,12.0,86.0,26.0
89,192366,CB,54.0,85.0,75.0,51.0,39.0,72.0,57.0,79.0,67.0,56.0,83.0,45.0
90,189513,RCM,79.0,61.0,90.0,78.0,90.0,87.0,51.0,78.0,78.0,82.0,69.0,83.0
91,187961,LDM,81.0,85.0,84.0,82.0,72.0,80.0,73.0,84.0,92.0,80.0,75.0,71.0
92,186153,GK,12.0,16.0,32.0,11.0,14.0,36.0,51.0,82.0,45.0,14.0,20.0,18.0
93,184941,RW,80.0,73.0,77.0,87.0,78.0,75.0,86.0,83.0,83.0,81.0,38.0,77.0
94,184267,LM,76.0,46.0,79.0,93.0,78.0,72.0,87.0,84.0,85.0,76.0,51.0,75.0
95,183907,RCB,34.0,85.0,75.0,64.0,31.0,83.0,67.0,82.0,69.0,58.0,84.0,46.0
96,181872,CAM,75.0,82.0,83.0,76.0,68.0,79.0,60.0,84.0,83.0,85.0,82.0,81.0
97,181458,LM,79.0,80.0,81.0,84.0,75.0,77.0,84.0,81.0,89.0,79.0,64.0,76.0
98,180930,ST,89.0,84.0,77.0,76.0,54.0,72.0,65.0,83.0,76.0,79.0,58.0,67.0
99,179846,RCM,72.0,76.0,85.0,81.0,68.0,82.0,54.0,87.0,78.0,78.0,80.0,69.0
100,179844,LS,87.0,82.0,65.0,77.0,59.0,52.0,74.0,85.0,76.0,74.0,58.0,75.0
101,178518,CAM,75.0,59.0,84.0,80.0,68.0,81.0,78.0,87.0,93.0,86.0,83.0,63.0
102,171919,CB,57.0,94.0,76.0,60.0,76.0,70.0,60.0,85.0,61.0,82.0,86.0,60.0
103,170890,LM,64.0,68.0,83.0,78.0,52.0,77.0,79.0,84.0,94.0,70.0,85.0,56.0
104,168609,CB,43.0,80.0,70.0,67.0,39.0,69.0,66.0,81.0,65.0,41.0,90.0,49.0
105,165153,ST,81.0,80.0,83.0,83.0,73.0,62.0,76.0,83.0,75.0,75.0,47.0,82.0
106,164169,LB,59.0,72.0,80.0,77.0,75.0,77.0,76.0,85.0,89.0,60.0,78.0,65.0
107,139720,CB,45.0,84.0,73.0,63.0,52.0,66.0,52.0,87.0,66.0,55.0,87.0,63.0
108,120533,RCB,46.0,80.0,70.0,58.0,47.0,61.0,65.0,83.0,60.0,56.0,86.0,57.0
109,41236,RS,86.0,83.0,79.0,79.0,82.0,73.0,58.0,82.0,61.0,82.0,28.0,89.0
110,220793,RCB,40.0,80.0,77.0,63.0,27.0,67.0,72.0,80.0,76.0,44.0,84.0,44.0
111,216460,RCB,37.0,81.0,68.0,47.0,44.0,58.0,69.0,76.0,67.0,48.0,88.0,38.0
112,212462,LB,65.0,74.0,83.0,82.0,79.0,86.0,84.0,83.0,92.0,75.0,80.0,68.0
113,212218,LCB,45.0,85.0,76.0,59.0,69.0,78.0,62.0,83.0,67.0,47.0,85.0,44.0
114,212198,LCM,73.0,58.0,85.0,83.0,81.0,82.0,79.0,84.0,89.0,88.0,63.0,81.0
115,212190,CB,20.0,86.0,78.0,42.0,30.0,63.0,52.0,79.0,65.0,62.0,82.0,32.0
116,211300,LW,84.0,69.0,77.0,87.0,54.0,60.0,88.0,81.0,75.0,80.0,38.0,81.0
117,211117,LCM,83.0,77.0,85.0,83.0,68.0,80.0,73.0,85.0,90.0,80.0,70.0,74.0
118,209499,CDM,66.0,75.0,83.0,76.0,53.0,78.0,69.0,83.0,92.0,65.0,83.0,91.0
119,207865,LDM,33.0,80.0,81.0,59.0,32.0,78.0,73.0,81.0,75.0,35.0,85.0,31.0
120,207566,CDM,52.0,73.0,84.0,80.0,50.0,86.0,49.0,75.0,84.0,55.0,84.0,60.0
121,205498,CM,57.0,56.0,89.0,82.0,76.0,87.0,75.0,83.0,79.0,62.0,63.0,84.0
122,204970,RM,81.0,75.0,83.0,85.0,72.0,76.0,87.0,83.0,83.0,82.0,46.0,74.0
123,204963,RB,41.0,70.0,81.0,76.0,47.0,71.0,79.0,82.0,84.0,36.0,83.0,45.0
124,202556,ST,79.0,65.0,80.0,85.0,88.0,74.0,87.0,79.0,79.0,81.0,29.0,75.0
125,200104,LM,85.0,65.0,79.0,88.0,70.0,64.0,88.0,84.0,85.0,88.0,48.0,71.0
126,199482,GK,18.0,16.0,32.0,15.0,14.0,31.0,63.0,84.0,36.0,18.0,13.0,16.0
127,198176,CB,25.0,80.0,71.0,63.0,16.0,71.0,67.0,80.0,66.0,60.0,88.0,41.0
128,198009,GK,11.0,12.0,33.0,19.0,13.0,31.0,57.0,79.0,30.0,17.0,20.0,21.0
129,193082,RAM,67.0,58.0,80.0,90.0,69.0,69.0,89.0,80.0,78.0,80.0,63.0,65.0
130,192629,ST,88.0,78.0,79.0,86.0,76.0,64.0,85.0,85.0,75.0,82.0,39.0,82.0
131,192563,GK,9.0,13.0,45.0,16.0,8.0,40.0,46.0,80.0,43.0,14.0,27.0,23.0
132,191202,CDM,64.0,74.0,84.0,80.0,67.0,83.0,52.0,83.0,84.0,75.0,83.0,64.0
133,190941,GK,11.0,11.0,15.0,10.0,15.0,20.0,38.0,83.0,34.0,14.0,10.0,20.0
134,190584,RDM,72.0,51.0,86.0,78.0,68.0,82.0,66.0,84.0,77.0,76.0,69.0,50.0
135,188377,RB,51.0,74.0,78.0,79.0,71.0,67.0,86.0,83.0,89.0,69.0,78.0,63.0
136,186942,CM,73.0,50.0,88.0,85.0,74.0,83.0,67.0,85.0,69.0,73.0,73.0,76.0
137,185020,RM,78.0,65.0,80.0,82.0,65.0,51.0,88.0,82.0,91.0,80.0,64.0,62.0
138,183898,RM,72.0,51.0,82.0,86.0,82.0,79.0,85.0,80.0,73.0,77.0,35.0,73.0
139,181783,ST,84.0,90.0,75.0,76.0,49.0,67.0,67.0,86.0,83.0,60.0,59.0,76.0
140,180403,RW,77.0,31.0,80.0,88.0,83.0,77.0,91.0,82.0,85.0,81.0,43.0,70.0
141,178750,GK,14.0,13.0,39.0,15.0,22.0,39.0,59.0,79.0,41.0,13.0,24.0,15.0
142,178562,CDM,66.0,49.0,88.0,84.0,81.0,87.0,68.0,77.0,74.0,78.0,75.0,78.0
143,177413,LCM,71.0,80.0,89.0,78.0,68.0,79.0,67.0,84.0,86.0,74.0,80.0,81.0
144,177388,CAM,78.0,59.0,84.0,86.0,84.0,80.0,75.0,75.0,73.0,82.0,32.0,74.0
145,176769,ST,88.0,84.0,76.0,84.0,77.0,75.0,65.0,85.0,66.0,85.0,31.0,84.0
146,172879,RCB,44.0,85.0,60.0,58.0,35.0,51.0,64.0,81.0,69.0,48.0,85.0,24.0
147,167628,GK,11.0,12.0,33.0,12.0,12.0,34.0,45.0,78.0,37.0,11.0,13.0,25.0
148,167397,RS,86.0,89.0,79.0,75.0,73.0,58.0,69.0,85.0,68.0,80.0,39.0,81.0
149,163587,GK,12.0,16.0,44.0,12.0,15.0,46.0,59.0,81.0,34.0,14.0,14.0,26.0
150,157481,RCB,27.0,77.0,74.0,59.0,45.0,72.0,54.0,82.0,55.0,53.0,89.0,37.0
151,143076,LS,76.0,38.0,82.0,89.0,79.0,74.0,94.0,83.0,75.0,79.0,50.0,72.0
152,137186,CB,21.0,72.0,65.0,64.0,31.0,65.0,61.0,80.0,53.0,39.0,94.0,60.0
153,20775,RM,67.0,41.0,79.0,89.0,73.0,75.0,84.0,78.0,65.0,80.0,29.0,74.0
154,9014,RM,85.0,51.0,82.0,89.0,81.0,71.0,83.0,85.0,64.0,86.0,30.0,78.0
155,231443,RW,78.0,43.0,78.0,90.0,64.0,70.0,93.0,82.0,73.0,70.0,42.0,75.0
156,230666,ST,84.0,74.0,76.0,86.0,54.0,66.0,87.0,86.0,84.0,73.0,53.0,78.0
157,230481,RW,74.0,64.0,83.0,85.0,78.0,82.0,88.0,84.0,86.0,78.0,24.0,77.0
158,230375,LCB,38.0,83.0,74.0,56.0,49.0,61.0,83.0,85.0,76.0,41.0,85.0,56.0
159,230294,ST,85.0,83.0,73.0,75.0,67.0,47.0,79.0,84.0,56.0,82.0,26.0,77.0
160,225850,LCB,31.0,79.0,79.0,58.0,32.0,75.0,75.0,79.0,80.0,39.0,80.0,50.0
161,220971,CM,74.0,42.0,88.0,88.0,70.0,78.0,78.0,82.0,82.0,73.0,68.0,58.0
162,219683,CM,75.0,82.0,84.0,77.0,73.0,86.0,75.0,83.0,87.0,81.0,75.0,70.0
163,213565,LM,75.0,54.0,84.0,85.0,81.0,75.0,86.0,80.0,79.0,76.0,55.0,68.0
164,213345,LM,76.0,52.0,77.0,88.0,70.0,63.0,95.0,81.0,76.0,73.0,29.0,70.0
165,213331,CB,20.0,80.0,74.0,55.0,27.0,69.0,64.0,82.0,63.0,25.0,80.0,38.0
166,212523,CAM,80.0,77.0,81.0,82.0,87.0,79.0,77.0,79.0,76.0,88.0,55.0,71.0
167,212188,RW,87.0,76.0,77.0,83.0,56.0,55.0,93.0,86.0,83.0,67.0,39.0,72.0
168,210008,CM,69.0,77.0,85.0,79.0,59.0,83.0,73.0,83.0,82.0,79.0,70.0,69.0
169,209658,CM,72.0,75.0,84.0,81.0,75.0,79.0,84.0,83.0,86.0,78.0,70.0,60.0
170,208808,RM,86.0,60.0,78.0,84.0,76.0,73.0,90.0,82.0,83.0,83.0,36.0,74.0
171,208670,RAM,68.0,53.0,86.0,83.0,78.0,89.0,76.0,82.0,86.0,75.0,52.0,73.0
172,208618,RW,73.0,52.0,83.0,82.0,75.0,75.0,84.0,85.0,90.0,80.0,42.0,56.0
173,208418,LM,79.0,53.0,77.0,88.0,78.0,71.0,89.0,83.0,74.0,75.0,58.0,74.0
174,208093,LS,83.0,80.0,78.0,78.0,56.0,56.0,77.0,82.0,72.0,77.0,43.0,73.0
175,207863,RCB,39.0,81.0,74.0,57.0,30.0,67.0,60.0,77.0,78.0,41.0,85.0,47.0
176,207410,LCM,62.0,42.0,87.0,88.0,68.0,82.0,84.0,70.0,82.0,75.0,69.0,59.0
177,206585,GK,11.0,17.0,32.0,10.0,19.0,36.0,34.0,79.0,37.0,14.0,19.0,24.0
178,206545,RCM,71.0,74.0,86.0,80.0,69.0,83.0,68.0,82.0,77.0,80.0,70.0,65.0
179,206113,ST,81.0,46.0,79.0,87.0,62.0,68.0,92.0,80.0,68.0,81.0,45.0,68.0
180,204935,GK,19.0,15.0,55.0,14.0,16.0,55.0,53.0,83.0,45.0,13.0,16.0,41.0
181,204639,CB,34.0,85.0,72.0,47.0,28.0,69.0,55.0,82.0,58.0,31.0,86.0,37.0
182,203574,RCB,29.0,83.0,81.0,69.0,29.0,74.0,67.0,82.0,79.0,38.0,85.0,44.0
183,202651,RW,70.0,50.0,86.0,88.0,80.0,75.0,83.0,78.0,77.0,87.0,50.0,72.0
184,202166,CM,78.0,65.0,84.0,88.0,76.0,79.0,78.0,83.0,69.0,82.0,39.0,63.0
185,201995,LM,71.0,44.0,80.0,90.0,69.0,74.0,93.0,74.0,72.0,84.0,47.0,53.0
186,200949,RM,78.0,50.0,77.0,88.0,74.0,74.0,94.0,76.0,75.0,76.0,31.0,74.0
187,200888,CDM,61.0,78.0,82.0,76.0,53.0,79.0,63.0,76.0,83.0,65.0,83.0,52.0
188,200724,CB,32.0,82.0,80.0,55.0,37.0,61.0,70.0,79.0,78.0,28.0,75.0,45.0
189,200316,GK,13.0,14.0,35.0,20.0,15.0,32.0,45.0,80.0,31.0,17.0,14.0,21.0
190,199914,RCM,72.0,59.0,85.0,82.0,49.0,77.0,81.0,86.0,95.0,66.0,85.0,53.0
191,199845,CB,37.0,80.0,73.0,65.0,56.0,77.0,65.0,81.0,81.0,60.0,87.0,72.0
192,199564,RB,63.0,72.0,86.0,78.0,60.0,78.0,78.0,80.0,85.0,66.0,75.0,57.0
193,198329,ST,78.0,80.0,78.0,82.0,67.0,58.0,88.0,80.0,78.0,76.0,44.0,77.0
194,197965,LCM,76.0,45.0,83.0,80.0,76.0,84.0,82.0,81.0,86.0,78.0,66.0,76.0
195,195365,LCM,63.0,34.0,84.0,86.0,75.0,79.0,84.0,84.0,88.0,73.0,65.0,64.0
196,194404,GK,15.0,14.0,36.0,19.0,13.0,41.0,53.0,79.0,39.0,20.0,17.0,22.0
197,193698,GK,11.0,16.0,30.0,19.0,11.0,25.0,47.0,81.0,39.0,13.0,15.0,22.0
198,193474,RDM,50.0,69.0,80.0,75.0,61.0,72.0,76.0,81.0,89.0,66.0,84.0,54.0
199,192883,RM,74.0,53.0,80.0,84.0,64.0,71.0,84.0,79.0,83.0,73.0,41.0,72.0
200,192638,LB,68.0,83.0,84.0,79.0,86.0,73.0,69.0,84.0,90.0,77.0,79.0,64.0
201,192593,GK,10.0,13.0,24.0,11.0,57.0,26.0,51.0,78.0,32.0,14.0,14.0,23.0
202,190547,RCB,27.0,85.0,63.0,51.0,26.0,59.0,50.0,78.0,67.0,20.0,82.0,39.0
203,189712,CDM,68.0,68.0,87.0,75.0,70.0,84.0,65.0,83.0,79.0,70.0,75.0,77.0
204,189068,ST,87.0,94.0,73.0,68.0,30.0,37.0,49.0,85.0,82.0,72.0,38.0,88.0
205,188152,LCM,76.0,54.0,86.0,78.0,75.0,82.0,75.0,81.0,76.0,77.0,66.0,68.0
206,186627,LS,85.0,67.0,78.0,81.0,78.0,66.0,76.0,68.0,66.0,79.0,10.0,92.0
207,185221,LCB,48.0,72.0,79.0,68.0,60.0,77.0,65.0,83.0,85.0,73.0,82.0,58.0
208,184942,CAM,79.0,59.0,82.0,84.0,71.0,79.0,85.0,81.0,82.0,76.0,49.0,79.0
209,179944,LCB,55.0,81.0,77.0,66.0,76.0,77.0,59.0,75.0,66.0,73.0,79.0,75.0
210,179783,GK,11.0,15.0,25.0,15.0,11.0,26.0,38.0,83.0,32.0,9.0,10.0,21.0
211,178088,RM,78.0,56.0,85.0,82.0,86.0,79.0,69.0,85.0,71.0,72.0,42.0,81.0
212,178086,GK,11.0,23.0,34.0,12.0,12.0,43.0,56.0,77.0,32.0,12.0,20.0,25.0
213,178005,GK,12.0,11.0,31.0,20.0,16.0,30.0,53.0,80.0,45.0,11.0,14.0,32.0
214,177683,GK,13.0,10.0,40.0,15.0,13.0,31.0,48.0,80.0,45.0,12.0,9.0,24.0
215,177610,CDM,43.0,87.0,77.0,60.0,45.0,74.0,49.0,83.0,74.0,62.0,85.0,52.0
216,177457,RB,59.0,78.0,79.0,72.0,47.0,74.0,66.0,83.0,86.0,71.0,88.0,52.0
217,176266,LDM,62.0,72.0,82.0,77.0,47.0,81.0,67.0,82.0,80.0,66.0,82.0,61.0
218,163705,GK,13.0,13.0,37.0,15.0,12.0,28.0,53.0,80.0,31.0,11.0,13.0,11.0
219,162895,CM,72.0,74.0,90.0,79.0,81.0,89.0,56.0,81.0,56.0,70.0,64.0,78.0
220,162240,CM,66.0,70.0,86.0,89.0,55.0,80.0,72.0,83.0,70.0,70.0,75.0,63.0
221,156616,LM,74.0,41.0,83.0,84.0,81.0,74.0,78.0,83.0,58.0,71.0,31.0,78.0
222,104389,GK,13.0,16.0,34.0,11.0,14.0,34.0,40.0,76.0,31.0,18.0,12.0,13.0
223,53302,RDM,50.0,81.0,81.0,64.0,71.0,80.0,63.0,80.0,74.0,72.0,90.0,75.0
224,24630,GK,14.0,13.0,19.0,10.0,11.0,22.0,50.0,82.0,34.0,15.0,20.0,24.0
225,236583,GK,16.0,14.0,28.0,12.0,14.0,17.0,35.0,78.0,20.0,17.0,12.0,18.0
226,235243,RCB,53.0,81.0,75.0,65.0,55.0,72.0,62.0,77.0,74.0,64.0,84.0,40.0
227,231866,CM,64.0,75.0,83.0,77.0,54.0,80.0,70.0,79.0,86.0,76.0,71.0,46.0
228,230658,LCM,72.0,58.0,85.0,82.0,60.0,80.0,68.0,81.0,78.0,74.0,65.0,69.0
229,230621,GK,12.0,12.0,34.0,28.0,14.0,24.0,46.0,74.0,34.0,18.0,20.0,24.0
230,230258,RCM,53.0,70.0,82.0,77.0,57.0,78.0,80.0,80.0,93.0,59.0,83.0,77.0
231,230225,RCB,56.0,83.0,67.0,60.0,58.0,58.0,68.0,78.0,76.0,61.0,77.0,62.0
232,230168,GK,8.0,11.0,18.0,9.0,18.0,16.0,41.0,82.0,29.0,7.0,20.0,14.0
233,227055,RM,66.0,51.0,78.0,85.0,60.0,55.0,95.0,83.0,87.0,69.0,54.0,66.0
234,224411,LM,75.0,60.0,77.0,86.0,70.0,68.0,89.0,80.0,81.0,77.0,24.0,69.0
235,223959,LCM,50.0,55.0,83.0,78.0,76.0,77.0,81.0,79.0,85.0,74.0,84.0,48.0
236,222737,RW,75.0,57.0,82.0,85.0,81.0,73.0,87.0,80.0,74.0,85.0,21.0,68.0
237,221087,GK,19.0,15.0,38.0,18.0,21.0,41.0,45.0,74.0,42.0,18.0,19.0,25.0
238,220814,LB,42.0,83.0,80.0,65.0,28.0,63.0,80.0,80.0,82.0,47.0,76.0,34.0
239,220440,LCB,23.0,78.0,78.0,60.0,27.0,69.0,72.0,79.0,73.0,35.0,85.0,43.0
240,216354,LCM,86.0,69.0,79.0,87.0,74.0,53.0,78.0,81.0,76.0,80.0,35.0,88.0
241,216267,LB,57.0,63.0,76.0,76.0,30.0,68.0,81.0,81.0,89.0,60.0,80.0,55.0
242,216194,RCM,51.0,46.0,86.0,66.0,57.0,81.0,53.0,72.0,88.0,58.0,72.0,58.0
243,212404,RM,70.0,50.0,82.0,86.0,80.0,72.0,83.0,80.0,80.0,82.0,65.0,72.0
244,212194,LM,78.0,42.0,82.0,87.0,59.0,69.0,78.0,80.0,73.0,78.0,38.0,54.0
